municipio_cpamb,id_unidade,id_batalhao,id_cia,id_pelotao,id_base,endereco,numero,bairro,cep,municipio_sede,telefone,email,url
Araras,1710,1,7,1,,Rodovia Brigadeiro Faria Lima,,Cachoeira de Emas,13645-000,Pirassununga,19 3565-1288,1bpamb7cia1pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/1710.html
Arco Iris,2411,2,4,1,1,Rua Goitacazes,1167,Centro,17600-350,Tupã,14 3496-5884,@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/2411.html
Arealva,2210,2,2,1,,Avenida Rodrigues Alves,38-138,Horto Florestal,17030-000,Bauru,14 3103-0150,2bpamb2cia1pelsp@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/2210.html
Areias,3420,3,4,2,,Rua Bartolomeu Bueno,30,IAPI,12515-560,Guaratinguetá,12 3126-1300,3bpamb4cia2pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/3420.html
Areiopolis,1320,1,3,2,,Rodovia Marechal Rondon,Km 248 + 200M,Marajoara,18605-460,Botucatu,14 3882-6070,1bpamb3cia2pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/1320.html
Ariranha,4120,4,1,2,,Rua Três de Maio,15,Higienópolis,15804-085,Catanduva,17 3522-1313,4bpamb1cia2pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/4120.html
Artur Nogueira,1710,1,7,1,,Rodovia Brigadeiro Faria Lima,,Cachoeira de Emas,13645-000,Pirassununga,19 3565-1288,1bpamb7cia1pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/1710.html
Aruja,1520,1,5,2,,Avenida Valentina Mello Freire Borenstein,,Braz Cubas,08735-270,Mogi das Cruzes,11 4799-6427,1bpamb5cia2pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/1520.html
Aspasia,4230,4,2,3,,Avenida Jose Rodrigues,51,Bosque Municipal,15703-372,Jales,17 3632-4660,4bpamb2cia2pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/4230.html
Assis,2420,2,4,2,,Via Chico Mendes,45,Parque de Exposições,19800-000,Assis,18 3323-5111,2bpamb4cia2pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/2420.html
Atibaia,1420,1,4,2,,Avenida Geronimo Camargo,1470,Recreio Estoril,12944-000,Atibaia,11 4414-3570,1bpamb4cia2pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/1420.html
Auriflama,2120,2,1,2,,Avenida Samira Zahr,681,Centro,16920-000,Castilho,18 3741-9140,2bpamb1cia2pelservdi@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/2120.html
Avai,2210,2,2,1,,Avenida Rodrigues Alves,38-138,Horto Florestal,17030-000,Bauru,14 3103-0150,2bpamb2cia1pelsp@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/2210.html
Avanhandava,2111,2,1,1,1,Rua Naim Eid,31,Jardim Ipê,16300-000,Penápolis,18 3652-1788,2bpamb1cia1pelbop@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/2111.html
Avare,1321,1,3,2,1,Avenida Governador Mario Covas,505,Distrito Industrial,18701-805,Avaré,14 3732-2844,1bpamb3cia2pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/1321.html
Bady Bassitt,4110,4,1,1,,Avenida Governador Adhemar Pereira de Barros,2100,Vila Diniz,15013-250,São José do Rio Preto,17 3201-3670,4bpamb1cia1pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/4110.html
Balbinos,2210,2,2,1,,Avenida Rodrigues Alves,38-138,Horto Florestal,17030-000,Bauru,14 3103-0150,2bpamb2cia1pelsp@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/2210.html
Balsamo,4110,4,1,1,,Avenida Governador Adhemar Pereira de Barros,2100,Vila Diniz,15013-250,São José do Rio Preto,17 3201-3670,4bpamb1cia1pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/4110.html
Bananal,3420,3,4,2,,Rua Bartolomeu Bueno,30,IAPI,12515-560,Guaratinguetá,12 3126-1300,3bpamb4cia2pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/3420.html
Barao De Antonina,1611,1,6,1,1,Avenida Candido Rodrigues,1549,Vila Nova,18400-000,Itapeva,15 3522-0115,1bpamb6cia1pel1bop@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/1611.html
Barbosa,2111,2,1,1,1,Rua Naim Eid,31,Jardim Ipê,16300-000,Penápolis,18 3652-1788,2bpamb1cia1pelbop@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/2111.html
Bariri,2211,2,2,1,1,Rua Angelo Moscato,232,Jardim Colina Barra,17340-000,Barra Bonita,14 3641-1775,2bpamb2cia1pel1bop@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/2211.html
Barra Bonita,2211,2,2,1,1,Rua Angelo Moscato,232,Jardim Colina Barra,17340-000,Barra Bonita,14 3641-1775,2bpamb2cia1pel1bop@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/2211.html
Barra Do Chapeu,1620,1,6,2,,Rodovia SP 250,Km 321,Cordeirópolis,18320-000,Apiaí,15 3552-1536,1bpamb6cia2pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/1620.html
Barra Do Turvo,3220,3,2,2,,Rua Guara,505,Flor da Vila,11940-000,Jacupiranga,13 3864-6070,3bpamb2cia2pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/3220.html
Barretos,4320,4,3,2,,Avenida 37,0766,Centro,14781-329,Barretos,17 3325-2714,4bpamb3cia2pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/4320.html
Barrinha,4410,4,4,1,,Rua Peru,1472,Vila Mariana,14075-310,Ribeirão Preto,16 3941-5959,4bpamb4cia1pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/4410.html
Barueri,1130,1,1,3,,Estrada Doutor Yogiro Takaoka,422,Dos Altos,06423-150,Barueri,11 4789-0905,1bpamb1cia3pel/ 1bpamb1cia3pelplanta@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/1130.html
Bastos,2411,2,4,1,1,Rua Goitacazes,1167,Centro,17600-350,Tupã,14 3496-5884,@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/2411.html
Batatais,4410,4,4,1,,Rua Peru,1472,Vila Mariana,14075-310,Ribeirão Preto,16 3941-5959,4bpamb4cia1pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/4410.html
Bauru,2210,2,2,1,,Avenida Rodrigues Alves,38-138,Horto Florestal,17030-000,Bauru,14 3103-0150,2bpamb2cia1pelsp@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/2210.html
Bebedouro,4320,4,3,2,,Avenida 37,0766,Centro,14781-329,Barretos,17 3325-2714,4bpamb3cia2pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/4320.html
Bento De Abreu,2110,2,1,1,,Rua Dona Amélia,,Dona Amélia,16050-620,Araçatuba,18 3622-1250,2bpamb1cia1pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/2110.html
Bernardino De Campos,2421,2,4,2,1,Rua Manoel Vieira Junior,175,Jardim Europa,19914-360,Ourinhos,14 3322-3077,2bpambbopourinhosv@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/2421.html
Bertioga,3110,3,1,1,,Avenida Manoel da Cruz Michael,387,Santa Rosa,11430-090,Guarujá,13 3348-4769,3bpamb1cia1pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/3110.html
Bertioga (Mar),3510,3,5,1,,Avenida Manoel da Cruz Michael,387,Santa Rosa,11430-090,Guarujá,13 3348-4774,3bpamb5cia1pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/3510.html
Bilac,2110,2,1,1,,Rua Dona Amélia,,Dona Amélia,16050-620,Araçatuba,18 3622-1250,2bpamb1cia1pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/2110.html
Birigui,2110,2,1,1,,Rua Dona Amélia,,Dona Amélia,16050-620,Araçatuba,18 3622-1250,2bpamb1cia1pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/2110.html
Biritiba-Mirim,1520,1,5,2,,Avenida Valentina Mello Freire Borenstein,,Braz Cubas,08735-270,Mogi das Cruzes,11 4799-6427,1bpamb5cia2pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/1520.html
Boa Esperanca Do Sul,4420,4,4,2,,Rua Jorge Biller Teixeira,519,Vila Ferroviária,14802-345,Araraquara,16 3331-3797,4bpamb4cia2pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/4420.html
Bocaina,2211,2,2,1,1,Rua Angelo Moscato,232,Jardim Colina Barra,17340-000,Barra Bonita,14 3641-1775,2bpamb2cia1pel1bop@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/2211.html
Bofete,1320,1,3,2,,Rodovia Marechal Rondon,Km 248 + 200M,Marajoara,18605-460,Botucatu,14 3882-6070,1bpamb3cia2pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/1320.html
Boituva,1311,1,3,1,1,Rua Orlando Paulino da Cruz,20,Três Marias,18273-040,Tatuí,15 3251-6441,1bpamb3cia1peltatui@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/1311.html
Bom Jesus Dos Perdoes,1420,1,4,2,,Avenida Geronimo Camargo,1470,Recreio Estoril,12944-000,Atibaia,11 4414-3570,1bpamb4cia2pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/1420.html
Bom Sucesso Do Itarare,1611,1,6,1,1,Avenida Candido Rodrigues,1549,Vila Nova,18400-000,Itapeva,15 3522-0115,1bpamb6cia1pel1bop@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/1611.html
Bora,2411,2,4,1,1,Rua Goitacazes,1167,Centro,17600-350,Tupã,14 3496-5884,@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/2411.html
Boraceia,2211,2,2,1,1,Rua Angelo Moscato,232,Jardim Colina Barra,17340-000,Barra Bonita,14 3641-1775,2bpamb2cia1pel1bop@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/2211.html
Borborema,4421,4,4,2,1,Rua José de Paula Souza,400,Jardim Eldorado,14940-000,Ibitinga,16 3342-4221,4bpamb4cia2pelibitin@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/4422.html
Borebi,2210,2,2,1,,Avenida Rodrigues Alves,38-138,Horto Florestal,17030-000,Bauru,14 3103-0150,2bpamb2cia1pelsp@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/2210.html
Botucatu,1320,1,3,2,,Rodovia Marechal Rondon,Km 248 + 200M,Marajoara,18605-460,Botucatu,14 3882-6070,1bpamb3cia2pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/1320.html
Braganca Paulista,1420,1,4,2,,Avenida Geronimo Camargo,1470,Recreio Estoril,12944-000,Atibaia,11 4414-3570,1bpamb4cia2pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/1420.html
Brauna,2111,2,1,1,1,Rua Naim Eid,31,Jardim Ipê,16300-000,Penápolis,18 3652-1788,2bpamb1cia1pelbop@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/2111.html
Brejo Alegre,2110,2,1,1,,Rua Dona Amélia,,Dona Amélia,16050-620,Araçatuba,18 3622-1250,2bpamb1cia1pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/2110.html
Brodosqui,4410,4,4,1,,Rua Peru,1472,Vila Mariana,14075-310,Ribeirão Preto,16 3941-5959,4bpamb4cia1pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/4410.html
Brotas,1730,1,7,3,,Avenida Brasil,540,Vila Alemã,13505-151,Rio Claro,19 3523-2012,1bpamb7cia3pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/1730.html
Buri,1610,1,6,1,,Praça Gaspar Ricardo,26,Centro,,Itapetininga,15 3273-1635,1bpamb6cia1pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/1610.html
Buritama,2110,2,1,1,,Rua Dona Amélia,,Dona Amélia,16050-620,Araçatuba,18 3622-1250,2bpamb1cia1pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/2110.html
Buritizal,4311,4,3,1,1,Rua Carolina Judith dos Santos,727,Parque Recreio,14500-000,Ituverava,16 3729-6510,4bpamb3cia1pelituv@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/4311.html
Cabralia Paulista,2210,2,2,1,,Avenida Rodrigues Alves,38-138,Horto Florestal,17030-000,Bauru,14 3103-0150,2bpamb2cia1pelsp@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/2210.html
Cabreuva,1430,1,4,3,,Rua Cabedelo,240,Vila São Paulo,13203-490,Jundiaí,11 4588-8960,1bpamb4cia3pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/1430.html
Cacapava,3410,3,4,1,,Avenida Marechal Arthur da Costa e Silva,1.401,Jaboticabeira,12010-490,Taubaté,12 3621-5598,3bpamb4cia1pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/3410.html
Cachoeira Paulista,3422,3,4,2,2,Rua Rui Cotrin,382,Vila Rica,12700-000,Cruzeiro,12 3143-3313,fernandocesar@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/3422.html
Caconde,1720,1,7,2,,Rua Dolorata Colosso Cirto,350,Jardim do Trevo,13871-504,Sao João da Boa Vista,19 3635-1729,1bpamb7cia2pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/1720.html
Cafelandia,2220,2,2,2,,Rua Marconi,84,Ribeiro,16401-345,Lins,14 3522-3571,2bpamb2cia2pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/2220.html
Caiabu,2310,2,3,1,,Rodovia Raposo Tavares,Km 563,Vila Nova Prudente,19053-205,Presidente Prudente,18 3222-1088,2bpamb3cia1pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/2310.html
Caieiras,1120,1,1,2,,Rua Mourão Vieira,150,Casa Verde,02518-020,São Paulo,11 5898 5600,1bpamb1cia2pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/1120.html
Caiua,2311,2,3,1,1,Rua Curitiba,14-53,Vila Santa Rosa,19470-000,Presidente Epitácio,18 3281-2033,@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/2311.html
Cajamar,1130,1,1,3,,Estrada Doutor Yogiro Takaoka,422,Dos Altos,06423-150,Barueri,11 4789-0905,1bpamb1cia3pel/ 1bpamb1cia3pelplanta@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/1130.html
Cajati,3220,3,2,2,,Rua Guara,505,Flor da Vila,11940-000,Jacupiranga,13 3864-6070,3bpamb2cia2pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/3220.html
Cajobi,4320,4,3,2,,Avenida 37,0766,Centro,14781-329,Barretos,17 3325-2714,4bpamb3cia2pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/4320.html
Cajuru,4410,4,4,1,,Rua Peru,1472,Vila Mariana,14075-310,Ribeirão Preto,16 3941-5959,4bpamb4cia1pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/4410.html
Campina Do Mte Alegre,1610,1,6,1,,Praça Gaspar Ricardo,26,Centro,,Itapetininga,15 3273-1635,1bpamb6cia1pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/1610.html
Campinas,1410,1,4,1,,Avenida das Amoreiras,191,Vila Industrial,13036-225,Campinas,19 3790-1420,1bpamb4cia1pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/1410.html
Campo Limpo Paulista,1430,1,4,3,,Rua Cabedelo,240,Vila São Paulo,13203-490,Jundiaí,11 4588-8960,1bpamb4cia3pel@policiamilitar.sp.gov.br,https://www.policiamilitar.sp.gov.br/unidades/ambiental/opm/1430.html
